index,Artist Name,Artist_id,Track Name,Track ID,Popularity,acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence,Genre
16,Katy Perry,6jJ0s89eD6GaHleKKya26X,Last Friday Night (T.G.I.F.),3avYqdwHKEq8beXbeWCKqJ,73,0.00125,0.652,230733,0.812,3.01e-05,3,0.667,0,-3.797,126.023,4,0.0409,0.72,pop
12,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Enchanted,10eBRyImhfqVvkiVEGf0N0,73,0.0739,0.455,352187,0.623,0.000424,8,0.146,1,-3.878,163.893,4,0.0288,0.208,pop
36,Katy Perry,6jJ0s89eD6GaHleKKya26X,The One That Got Away,6hkOqJ5mE093AQf2lbZnsG,73,0.000812,0.691,227333,0.795,1.02e-06,1,0.156,0,-4.021,133.971,4,0.0355,0.876,pop
30,Miguel,360IAlyVv4PCEVjgyMZrxK,All I Want Is You (feat. J. Cole),5VA4Ispp52EA1sOqzMz3Av,73,0.0728,0.776,295920,0.603,6.25e-05,5,0.111,1,-5.696,96.888,4,0.0343,0.921,hip hop
58,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,The Lazy Song,1ExfPZEiahqhLyajhybFeS,72,0.3,0.794,189109,0.711,0.0,8,0.0955,0,-5.124,174.915,4,0.0699,0.955,pop
60,Jeremih,3KV3p5EY4AvKxOlhGHORLg,Down On Me,0x3TibRgnSqzkcwrqBd4iX,72,0.0369,0.7,228453,0.598,0.0,2,0.111,1,-7.783,160.041,4,0.114,0.594,pop
18,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,Mr. Rager,2ncLdwTd8qzkxiJjlbiOgC,72,0.38,0.675,294213,0.734,0.895,7,0.141,1,-8.659,101.998,4,0.0265,0.533,hip hop
71,Kesha,6LqNN22kT3074XbTVUrhzX,Cannibal,3JTMWdhcJPiegDSe7SvZS3,72,0.0078,0.71,194253,0.68,0.0165,1,0.0493,1,-4.676,129.971,4,0.106,0.571,pop
22,Katy Perry,6jJ0s89eD6GaHleKKya26X,Teenage Dream,5jzKL4BDMClWqRguW5qZvh,72,0.0162,0.719,227741,0.798,2.34e-06,10,0.134,1,-4.582,120.011,4,0.0361,0.591,pop
68,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Monster,1ZHYJ2Wwgxes4m8Ba88PeK,72,0.00244,0.628,378893,0.692,0.0129,2,0.668,1,-5.64,124.887,5,0.202,0.0963,rap
79,Kesha,6LqNN22kT3074XbTVUrhzX,We R Who We R,3LUWWox8YYykohBbHUrrxd,71,0.00987,0.736,204760,0.817,0.00167,8,0.117,1,-4.9,119.95,4,0.0407,0.653,pop
33,Zac Brown Band,6yJCxee7QumYr820xdIsjo,Knee Deep (feat. Jimmy Buffett),60IGhnH20N82dNxKnc8jDd,71,0.432,0.715,203173,0.584,1.41e-06,8,0.095,1,-8.231,90.99,4,0.0296,0.609,country
20,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,Dirt Road Anthem,2qYsSHsYkihWx043HVJQRV,71,0.347,0.68,229400,0.741,1.87e-06,2,0.117,1,-5.055,127.024,4,0.0357,0.635,country
74,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Moment 4 Life,1ia019RqDK2o4QiANR1Dyn,71,0.406,0.475,279307,0.882,0.0,11,0.241,1,-3.883,98.001,4,0.351,0.369,pop
94,MARINA,6CwfuxIqcltXDGjfZsMd9A,Oh No!,4sNwdacKyi2S26WrRtNama,71,0.0539,0.77,182587,0.896,0.0,0,0.243,1,-3.971,126.999,4,0.039,0.964,pop
76,Mac Miller,4LLpKhyESsyAXpc4laK94U,Nikes On My Feet,29GefKRTSVW3ag4Xegm8jP,71,0.563,0.8,164632,0.569,0.0,9,0.111,0,-5.104,92.063,4,0.265,0.589,hip hop
73,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Dark Fantasy,7yNK27ZTpHew0c55VvIJgm,71,0.274,0.599,280787,0.587,0.0,5,0.167,1,-5.919,87.998,4,0.0423,0.373,rap
41,Trey Songz,2iojnBLj0qIMiKPvVhLnsH,Bottoms Up (feat. Nicki Minaj),4AYX69oFP3UOS1CFmV9UfO,71,0.0205,0.844,242013,0.601,0.0,1,0.385,1,-5.283,73.989,4,0.157,0.331,pop
42,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,Erase Me - Main,6XkuklKiHYVTlVvWlTgQYP,71,0.063,0.687,192253,0.631,0.0,9,0.108,1,-5.612,186.071,4,0.129,0.853,hip hop
91,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,What's My Name?,6DkXLzBQT7cwXmTyzAB1DJ,71,0.182,0.689,263173,0.784,0.0,2,0.0843,1,-2.972,99.954,4,0.074,0.561,pop
92,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,Nightmare,4UEo1b0wWrtHMC8bVqPiH8,71,0.000318,0.554,374453,0.949,9.98e-05,2,0.2,1,-4.928,129.984,4,0.0787,0.233,alternative metal
132,Eminem,7dGJo4pcD2V6oG8kP0tJRR,No Love,7bHT9osSq1rwT2yaImzqCi,70,0.119,0.522,299507,0.932,0.0,11,0.177,1,-2.87,129.473,4,0.255,0.33,hip hop
251,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,The Time (Dirty Bit),7vWFaMq63AwkFDhS2OAg5u,70,0.0662,0.816,307640,0.813,2.77e-06,6,0.602,0,-7.798,127.979,4,0.0664,0.436,pop
111,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Cinderella Man,4SE4yewyGpOYfxfx59Yjc5,70,0.234,0.679,279013,0.908,0.0,8,0.0821,1,-3.411,85.918,4,0.202,0.687,hip hop
99,MARINA,6CwfuxIqcltXDGjfZsMd9A,Are You Satisfied?,6lKRMylSZMtA7EqPl0pcdI,70,0.303,0.669,198960,0.712,0.0,0,0.0755,1,-4.992,124.009,4,0.0412,0.843,pop
83,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Gorgeous,23SZWX2IaDnxmhFsSLvkG2,70,0.0207,0.598,357653,0.713,0.000175,6,0.431,0,-3.625,91.964,4,0.0326,0.118,rap
38,Neon Trees,0RpddSzUHfncUWNJXKOsjy,Animal,1fBl642IhJOE5U319Gy2Go,70,0.000346,0.482,212293,0.833,0.0,5,0.365,1,-5.611,148.039,4,0.0449,0.74,rock
40,Maroon 5,04gDigrS5kc9YWfZHwBETP,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",7LcfRTgAVTs5pQGEQgUEzN,70,0.0111,0.722,201160,0.758,0.0,11,0.308,0,-4.477,128.047,4,0.0471,0.62,pop
54,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Runaway Baby,5MMLS3xm12D7N26xlfFApr,70,0.263,0.658,148448,0.762,0.0,10,0.127,0,-3.028,163.864,4,0.0425,0.823,pop
51,Lady A,32WkQRZEVKSzVAAYqukAEA,Need You Now,11EX5yhxr9Ihl3IN1asrfK,70,0.0927,0.587,277573,0.622,0.000636,4,0.2,1,-5.535,107.943,4,0.0303,0.231,country
162,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Space Bound,0sHW1jXe6Sou3437gJQNGA,69,0.0417,0.668,278640,0.886,0.0,0,0.459,1,-3.474,142.002,4,0.117,0.503,hip hop
80,Mac Miller,4LLpKhyESsyAXpc4laK94U,Knock Knock,0DCu6lwtdiVjMixpQJcGG3,69,0.107,0.682,197929,0.934,0.0,4,0.749,0,-2.526,109.032,4,0.129,0.487,hip hop
61,Katy Perry,6jJ0s89eD6GaHleKKya26X,California Gurls,6KOEK6SeCEZOQkLj5M1PxH,69,0.0038,0.788,234653,0.753,0.0,0,0.18,1,-3.71,125.005,4,0.0536,0.403,pop
152,Kesha,6LqNN22kT3074XbTVUrhzX,Take It Off,0WCiI0ddWiu5F2kSHgfw5S,69,4.14e-05,0.729,215200,0.675,0.00126,5,0.0867,0,-5.292,125.036,4,0.0286,0.74,pop
77,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Aston Martin Music,5W7xC99N2Zzfh69r7I7zWK,69,0.0124,0.57,270627,0.58,0.0,1,0.0498,1,-5.547,171.812,4,0.21,0.404,hip hop
156,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Somebody To Love,3rLIv187BhjyweFe89SgLn,69,0.00249,0.714,220920,0.833,0.0,5,0.298,1,-5.239,129.964,4,0.0259,0.663,pop
50,Zac Brown Band,6yJCxee7QumYr820xdIsjo,Colder Weather,3U8dHeggJ8IBe0UCb1gbyB,69,0.455,0.667,273893,0.381,0.0,3,0.116,1,-7.494,135.975,4,0.0294,0.199,country
204,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,That Should Be Me,0aPZbnkMoWJaJ5CNVLCj8S,69,0.199,0.552,232720,0.603,0.0,8,0.151,1,-5.71,139.908,4,0.0334,0.231,pop
85,Kesha,6LqNN22kT3074XbTVUrhzX,Your Love Is My Drug,6vc2Jq2vaGu8z326kSrw92,69,0.00681,0.826,187133,0.612,0.0,1,0.0889,1,-3.891,120.057,4,0.0982,0.756,pop
43,Far East Movement,698hF4vcwHwPy8ltmXermq,Like A G6,4DvhkX2ic4zWkQeWMwQ2qf,69,0.00676,0.435,216893,0.837,0.0,3,0.117,1,-8.126,124.913,4,0.449,0.778,edm
135,Kesha,6LqNN22kT3074XbTVUrhzX,Blow,3pYDZTJM2tVBUhIRifWVzI,68,0.00334,0.753,219973,0.729,5.66e-05,11,0.073,0,-3.862,120.013,4,0.0392,0.812,pop
59,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Back To December,3DrjZArsPsoqbLzUZZV1Id,68,0.117,0.529,293027,0.67,0.0,2,0.334,1,-4.663,141.893,4,0.0303,0.286,pop
170,MARINA,6CwfuxIqcltXDGjfZsMd9A,Hermit the Frog,4Zcz6saEkOII3PlXd9gN3o,68,0.243,0.609,215960,0.679,0.0,0,0.199,1,-4.545,122.034,4,0.0312,0.487,pop
48,Far East Movement,698hF4vcwHwPy8ltmXermq,Rocketeer,45sDIKapDyxPl307QpEAwl,68,0.181,0.664,211253,0.845,0.0,4,0.267,0,-6.115,96.005,4,0.0461,0.357,edm
52,Drake,3TVXtAsR1Inumwj472S9r4,Over,6BdgtqiV3oXNqBikezwdvC,68,0.0107,0.35,233560,0.845,0.0,7,0.123,1,-5.614,99.643,5,0.2,0.45,hip hop
217,John Lennon,4x1nvY2FN8jxqAFA0DA02H,Happy Xmas (War Is Over) - Remastered 2010,27RYrbL6S02LNVhDWVl38b,68,0.28,0.321,214333,0.64,0.0,2,0.718,1,-10.023,146.172,3,0.0324,0.414,rock
66,Lil Wayne,55Aa2cqylxrFIXC767Z865,Right Above It,1kMuU3TNQvHbqvXCWBodmP,68,0.0435,0.376,271947,0.841,0.0,3,0.578,0,-4.348,76.052,4,0.356,0.463,hip hop
84,Katy Perry,6jJ0s89eD6GaHleKKya26X,Firework,4r6eNCsrZnQWJzzvFh4nlg,68,0.141,0.638,227893,0.832,0.0,8,0.113,1,-5.039,124.071,4,0.049,0.648,pop
105,Get Scared,5r9uIJCoquVtEkCkvcn8Ez,Sarcasm,40i81AcCCxiVEFUWElcjZC,68,0.00238,0.387,198080,0.929,7.22e-06,7,0.314,0,-4.825,180.359,4,0.161,0.591,rock
126,Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,A Warrior's Call,4o6k1XHlrIZay8v1m5VU83,68,0.00077,0.373,263080,0.903,5.86e-06,10,0.244,1,-4.49,109.121,3,0.083,0.43,alternative metal
